time,.data
2018/04/01/18:14:34.535740,555
2018/04/01/18:14:34.535771,555
2018/04/01/18:14:34.557269,569
2018/04/01/18:14:34.558692,569
2018/04/01/18:14:34.578209,557
2018/04/01/18:14:34.578452,557
2018/04/01/18:14:34.599299,548
2018/04/01/18:14:34.606358,548
2018/04/01/18:14:34.616362,567
2018/04/01/18:14:34.616597,567
2018/04/01/18:14:34.642732,562
2018/04/01/18:14:34.642770,562
2018/04/01/18:14:34.664561,568
2018/04/01/18:14:34.664572,568
2018/04/01/18:14:34.683724,566
2018/04/01/18:14:34.683729,566
2018/04/01/18:14:34.706100,573
2018/04/01/18:14:34.706452,573
2018/04/01/18:14:34.725470,569
2018/04/01/18:14:34.725475,569
2018/04/01/18:14:34.748093,581
2018/04/01/18:14:34.748102,581
2018/04/01/18:14:34.770069,579
2018/04/01/18:14:34.770120,579
2018/04/01/18:14:34.788321,575
2018/04/01/18:14:34.788336,575
2018/04/01/18:14:34.814054,582
2018/04/01/18:14:34.814083,582
2018/04/01/18:14:34.833931,555
2018/04/01/18:14:34.833935,555
2018/04/01/18:14:34.857082,576
2018/04/01/18:14:34.857122,576
2018/04/01/18:14:34.878521,559
2018/04/01/18:14:34.878538,559
2018/04/01/18:14:34.922514,559
2018/04/01/18:14:34.922517,559
2018/04/01/18:14:34.930507,564
2018/04/01/18:14:34.931111,564
2018/04/01/18:14:34.942550,554
2018/04/01/18:14:34.942562,554
2018/04/01/18:14:34.959607,568
2018/04/01/18:14:34.959612,568
2018/04/01/18:14:34.980285,581
2018/04/01/18:14:34.980290,581
2018/04/01/18:14:35.004533,569
2018/04/01/18:14:35.004698,569
2018/04/01/18:14:35.029243,574
2018/04/01/18:14:35.029309,574
2018/04/01/18:14:35.050839,564
2018/04/01/18:14:35.050890,564
2018/04/01/18:14:35.068893,568
2018/04/01/18:14:35.068940,568
2018/04/01/18:14:35.091418,564
2018/04/01/18:14:35.091420,564
2018/04/01/18:14:35.110928,574
2018/04/01/18:14:35.110977,574
2018/04/01/18:14:35.138613,572
2018/04/01/18:14:35.138637,572
2018/04/01/18:14:35.156318,580
2018/04/01/18:14:35.156325,580
2018/04/01/18:14:35.176151,570
2018/04/01/18:14:35.176224,570
2018/04/01/18:14:35.197479,579
2018/04/01/18:14:35.197565,579
2018/04/01/18:14:35.217518,581
2018/04/01/18:14:35.217524,581
2018/04/01/18:14:35.239840,577
2018/04/01/18:14:35.239871,577
2018/04/01/18:14:35.262758,577
2018/04/01/18:14:35.262766,577
2018/04/01/18:14:35.282944,573
2018/04/01/18:14:35.282985,573
2018/04/01/18:14:35.300844,558
2018/04/01/18:14:35.301240,558
2018/04/01/18:14:35.331392,588
2018/04/01/18:14:35.331752,588
2018/04/01/18:14:35.346780,570
2018/04/01/18:14:35.346790,570
2018/04/01/18:14:35.366311,573
2018/04/01/18:14:35.366320,573
2018/04/01/18:14:35.385451,567
2018/04/01/18:14:35.385551,567
2018/04/01/18:14:35.411573,569
2018/04/01/18:14:35.411582,569
