time,.data
2018/04/01/18:14:36.327173,247
2018/04/01/18:14:36.348299,247
2018/04/01/18:14:36.368610,247
2018/04/01/18:14:36.391047,247
2018/04/01/18:14:36.413315,247
2018/04/01/18:14:36.433312,247
2018/04/01/18:14:36.454413,247
2018/04/01/18:14:36.472735,247
2018/04/01/18:14:36.497919,247
2018/04/01/18:14:36.519232,247
2018/04/01/18:14:36.538709,247
2018/04/01/18:14:36.563533,247
2018/04/01/18:14:36.583298,246
2018/04/01/18:14:36.604677,247
2018/04/01/18:14:36.619304,247
2018/04/01/18:14:36.646926,271
2018/04/01/18:14:36.667795,247
2018/04/01/18:14:36.689435,247
2018/04/01/18:14:36.709350,246
2018/04/01/18:14:36.733928,272
2018/04/01/18:14:36.752847,272
2018/04/01/18:14:36.775213,271
2018/04/01/18:14:36.790432,272
2018/04/01/18:14:36.815989,272
2018/04/01/18:14:36.835768,272
2018/04/01/18:14:36.862669,272
2018/04/01/18:14:36.887056,272
